1850	2734430450	2537534418	196896032
1851	2813745945	2614940969	198804976
1852	2861828605	2654277661	207550944
1853	2920302218	2703092970	217209248
1854	2985473346	2730334370	255138976
1855	3007259243	2747093259	260165984
1856	3052322566	2775031046	277291520
1857	3081581427	2801692131	279889296
1858	3112820550	2828648700	284171850
1859	3153607977	2852295418	301312559
1860	3054672400	2724030209	330642191
1861	2956430717	2608695475	347735242
1862	2955070834	2601013372	354057462
1863	2976642155	2598782217	377859938
1864	2973771942	2566680834	407091108
1865	2962271817	2529964028	432307789
1866	2965046381	2519075782	445970599
1867	3004559981	2526745069	477814912
1868	3005352020	2514599524	490752496
1869	3019784462	2498653742	521130720
1870	3223835745	2691298993	532536752
1871	3366050170	2799907210	566142960
1872	3476089506	2849717714	626371792
1873	3587928632	2922509592	665419040
1874	3595657333	2972660085	622997248
1875	3687529856	3011730704	675799152
1876	3728541559	3042988839	685552720
1877	3787788949	3088690421	699098528
1878	3835013597	3130631868	704381729
1879	3931637294	3176767785	754869509
1880	4074756797	3221049609	853707188
1881	4096587666	3214180191	882407475
1882	4213327005	3281402295	931924710
1883	4330428626	3339392942	991035684
1884	4356557476	3354379731	1002177745
1885	4368696637	3359022066	1009674571
1886	4412936377	3387457493	1025478884
1887	4509345215	3432583537	1076761678
1888	4634436937	3442160867	1192276070
1889	4634793498	3442989066	1191804432
1890	4877455682	3578992101	1298463581
1891	5039474042	3680594352	1358879690
1892	5092321811	3722227277	1370094534
1893	5134608737	3780933702	1353675035
1894	5216494050	3815629453	1400864597
1895	5330878001	3845596662	1485281339
1896	5415325493	3881614492	1533711001
1897	5528362299	3922051659	1606310640
1898	5655736982	3961459815	1694277167
1899	5846541323	3995635357	1850905966
1900	6059411629	4107186975	1952224654
1901	6183524333	4166763405	2016760928
1902	6296538972	4228741359	2067797613
1903	6513146839	4257069589	2256077250
1904	6596841477	4314983942	2281857535
1905	6767260174	4337628807	2429631367
1906	6908298548	4356429035	2551869513
1907	7264482928	4379201686	2885281242
1908	7184675916	4408244325	2776431591
1909	7335080744	4447997683	2887083061
1910	7485189864	4457601000	3027588864
1911	7529044067	4446581793	3082462274
1912	7618741199	4390409048	3228332151
1913	7890096773	4397685524	3492411249
1914	7558740549	4390399190	3168341359
1915	7467485854	4342397311	3125088543
1916	7668925272	4295771203	3373154069
1917	7826036079	4298310401	3527725678
1918	7798799331	4319613752	3479185579
1919	7317654664	4302780461	3014874203
1920	7932849232	4425251596	3507597636
1921	7602578666	4526540444	3076038222
1922	7794980960	4568535923	3226445037
1923	8252566729	4591485987	3661080742
1924	8276573932	4604174581	3672399351
1925	8373464233	4660596520	3712867713
1926	8301399019	4656208777	3645190242
1927	8629672065	4648239182	3981432883
1928	8621756389	4659203862	3962552527
1929	8916852947	4661702221	4255150726
1930	8688549443	4765491100	3923058343
1931	8367161921	4861889868	3505272053
1932	8065123341	4905989930	3159133411
1933	8283556458	4957102676	3326453782
1934	8631913044	5014255500	3617657544
1935	8800303412	5004215076	3796088336
1936	9198530159	5027956474	4170573685
1937	9491570343	5032669010	4458901333
1938	9262392411	5067149653	4195242758
1939	9511227187	5073083200	4438143987
1940	10108370130	5258443588	4849926545
1941	10311347680	5352161456	4959186226
1942	10296580260	5356855403	4939724859
1943	10367195140	5343944495	5023250640
1944	10430656700	5325220029	5105436673
1945	9536559501	5291821408	4244738093
1946	9895331517	5261854234	4633477283
1947	10357183590	5226998156	5130185429
1948	10559115000	5157999517	5401115478
1949	10331614280	5088511342	5243102933
1950	11449106340	5445868154	6003238189
1951	12002777980	5623022042	6379755941
1952	12298540420	5832846190	6465694232
1953	12618335590	5970607772	6647727815
1954	12953198760	6163262267	6789936494
1955	13814261330	6371054264	7443207067
1956	14515105920	6590895372	7924210548
1957	14964247800	6778723833	8185523970
1958	15407610520	6990010468	8417600054
1959	15618169580	6761980913	8856188671
1960	16178932820	6791999154	9386933671
1961	16240271440	6822808808	9417462637
1962	16310811130	6560754466	9750056664
1963	16323946700	6052422309	10271524390
1964	16559761050	5730903481	10828857570
1965	16509753220	5192520300	11317232920
1966	16808105250	4942243853	11865861400
1967	17270870010	5027824468	12243045540
1968	17964518920	5054606395	12909912520
1969	18502013570	4735442912	13766570650
1970	19611355660	4713788565	14897567090
1971	20163031060	4664764385	15498266680
1972	20897521210	4676368946	16221152270
1973	21617158380	4538366279	17078792100
1974	21378056390	4368461980	17009594410
1975	22238450370	5191953157	17046497220
1976	22754237190	4770264346	17983972850
1977	23137861120	4643330299	18494530820
1978	23295858570	4228091396	19067767180
1979	23862975550	4252957818	19610017730
1980	23636499800	4143886286	19492613520
1981	23341806580	4314896401	19026910180
1982	23109445670	4233685392	18875760280
1983	23659221220	4661189660	18998031560
1984	24829593940	5172877065	19656716870
1985	25218864840	4901381317	20317483520
1986	25447847390	4828223730	20619623660
1987	25896265530	4630070998	21266194530
1988	26605398020	4503998531	22101399490
1989	26760547540	4353715023	22406832520
1990	27048752260	4299177896	22749574360
1991	27450188020	4212085871	23238102150
1992	26961220850	4391596566	22569624280
1993	27096687280	4293191936	22803495350
1994	27779501990	4814918628	22964583360
1995	28220153380	4766208930	23453944450
1996	28995978740	4841017536	24154961210
1997	30971192970	6670642540	24300550430
1998	29340689230	5134417961	24206271270
1999	29591984420	5073022132	24518962290
2000	29771493810	4537286564	25234207250
2001	29615968310	4164913807	25451054500
2002	30757316650	4718125177	26039191480
2003	32460080510	5093357214	27366723290
2004	33203827230	4576294199	28627533030
2005	33702690110	4099912911	29602777200
2006	35223513960	4639983878	30583530080
